resort_name|state|region|postal_code|summit|mid_elevation|base|vertical|lifts|runs|acres|green_percent|green_acres|blue_percent|blue_acres|black_percent|black_acres|lat|lon|mid_elevation_meters|timezone|country|ticket_currency|peak_day_ticket_local|peak_day_ticket_usd|advance_day_ticket_local|ticket_basis|map|openmeteo_hourly_api_call
Chester Bowl Park - MN|Minnesota|Midwest|55805|875|787.5|700|175|1|4||||||||46.8|-92.09|240.03|America/Chicago|USA|USD|25|25|22|estimate||https://archive-api.open-meteo.com/v1/archive?latitude=46.8&longitude=-92.09&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Chicago&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=240.03
Chestnut Mountain - IL|Illinois|Midwest|61036|1040|802.5|565|475|9|19|139|0.26|36.14|0.58|80.62|0.16|22.24|42.32|-90.38|244.602|America/Chicago|USA|USD|79|79|70|estimate|https://www.onthesnow.com/illinois/chestnut-mountain-resort/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=42.32&longitude=-90.38&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Chicago&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=244.602
China Peak - CA|California|Sierra Nevada|93634|8709|7869.5|7030|1679|11|45|1400|0.11|154|0.28|392|0.61|854|37.23|-119.16|2398.6236|America/Los_Angeles|USA|USD|129|129|97|estimate|https://www.onthesnow.com/california/ski-china-peak/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=37.23&longitude=-119.16&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Los_Angeles&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=2398.6236
Christie Mountain - WI|Wisconsin|Midwest|54822|1650|1475|1300|350|5|21|45|0.41|18.45|0.21|9.45|0.38|17.1|45.44|-91.72|449.58|America/Chicago|USA|USD|55|55|48|estimate|https://www.onthesnow.com/wisconsin/christie-mountain/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=45.44&longitude=-91.72&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Chicago&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=449.58
Christmas Mountain - WI|Wisconsin|Midwest|53965|1250|1125|1000|250|3|10|40|0.4|16|0.4|16|0.2|8|43.62|-89.83|342.9|America/Chicago|USA|USD|55|55|48|estimate|https://www.onthesnow.com/wisconsin/christmas-mountain/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=43.62&longitude=-89.83&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Chicago&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=342.9
Cloudmont - AL|Alabama|Southeast||1800|1725|1650|150|2|2|9|0.5|4.5|0.5|4.5|0|0|34.62|-85.63|525.78|America/Chicago|USA|USD|45|45|40|estimate||https://archive-api.open-meteo.com/v1/archive?latitude=34.62&longitude=-85.63&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Chicago&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=525.78
Cochran's - VT|Vermont|Northeast|5462|1000|750|500|500|3|7|15|0.22|3.3|0.56|8.4|0.22|3.3|44.35|-73|228.6|America/New_York|USA|USD|45|45|40|estimate||https://archive-api.open-meteo.com/v1/archive?latitude=44.35&longitude=-73&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/New_York&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=228.6
Coffee Mill - MN|Minnesota|Midwest|54759|1150|937.5|725|425|3|10|40|0.35|14|0.29|11.6|0.36|14.4|44.42|-92.1|285.75|America/Chicago|USA|USD|45|45|40|estimate|https://www.onthesnow.com/minnesota/coffee-mill-ski-snowboard-resort/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=44.42&longitude=-92.1&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Chicago&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=285.75
Cooper Spur - OR|Oregon|Pacific Northwest||4350|4175|4000|350|2|10|50|0.4|20|0.6|30|0|0|45.42|-121.62|1272.54|America/Los_Angeles|USA|USD|45|45|40|estimate|https://www.onthesnow.com/oregon/cooper-spur/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=45.42&longitude=-121.62&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Los_Angeles&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=1272.54
Copper Mountain - CO|Colorado|Colorado & Utah|80443|12441|11076.5|9712|2738|23|150|2507|0.25|626.75|0.24|601.68|0.51|1278.57|39.5|-106.15|3376.1172|America/Denver|USA|USD|249|249|187|estimate|https://www.onthesnow.com/colorado/copper-mountain-resort/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=39.5&longitude=-106.15&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Denver&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=3376.1172
Cottonwood Butte - ID|Idaho|Northern Rockies||5565|5142.5|4720|845|2|7|260|||||||46.06|-116.46|1567.434|America/Los_Angeles|USA|USD|40|40|35|estimate||https://archive-api.open-meteo.com/v1/archive?latitude=46.06&longitude=-116.46&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Los_Angeles&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=1567.434
Cranmore Mountain - NH|New Hampshire|Northeast|3860|2000|1250|500|1500|9|56|200|0.28|56|0.44|88|0.28|56|44.06|-71.11|381|America/New_York|USA|USD|119|119|105|estimate|https://www.onthesnow.com/new-hampshire/cranmore-mountain-resort/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=44.06&longitude=-71.11&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/New_York&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=381
Crested Butte - CO|Colorado|Colorado & Utah|81225|12162|10768.5|9375|2775|15|121|1547|0|0|0|0|1|1547|38.9|-106.96|3282.2388|America/Denver|USA|USD|249|249|187|estimate|https://www.onthesnow.com/colorado/crested-butte-mountain-resort/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=38.9&longitude=-106.96&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Denver&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=3282.2388
Crotched Mountain - NH|New Hampshire|Northeast|3403|2066|1558|1050|1000|5|25|100|0.29|29|0.33|33|0.38|38|42.99|-71.88|474.8784|America/New_York|USA|USD|99|99|87|estimate|https://www.onthesnow.com/new-hampshire/crotched-mountain/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=42.99&longitude=-71.88&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/New_York&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=474.8784
Crystal Mountain - MI|Michigan|Midwest|49683|1132|944.5|757|375|8|58|102|0.32|32.64|0.37|37.74|0.31|31.62|44.52|-85.99|287.8836|America/Detroit|USA|USD|99|99|87|estimate|https://www.onthesnow.com/michigan/crystal-mountain/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=44.52&longitude=-85.99&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Detroit&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=287.8836
Crystal Mountain - WA|Washington|Pacific Northwest|98022|7012|5462|3912|3100|11|86|2600|0.08|208|0.31|806|0.61|1586|46.93|-121.47|1664.8176|America/Los_Angeles|USA|USD|179|179|134|estimate|https://www.onthesnow.com/washington/crystal-mountain-wa/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=46.93&longitude=-121.47&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Los_Angeles&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=1664.8176
Cypress Mountain - BC|British Columbia|Western Canada|V7V 3N9|4770|3895|3020|1750|6|53|600|0.08|48|0.38|228|0.54|324|49.4|-123.2|1187.196|America/Vancouver|Canada|CAD|99|71|87|estimate|https://www.onthesnow.com/british-columbia/cypress-mountain/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=49.4&longitude=-123.2&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Vancouver&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=1187.196
Dartmouth Skiway - NH|New Hampshire|Northeast|3769|1943|1459|975|968|3|31|107|0.21|22.47|0.5|53.5|0.29|31.03|43.78|-72.1|444.7032|America/New_York|USA|USD|60|60|53|estimate|https://www.onthesnow.com/new-hampshire/dartmouth-skiway/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=43.78&longitude=-72.1&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/New_York&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=444.7032
Deer Valley - UT|Utah|Colorado & Utah|84060|9570|8070|6570|3000|25|235|4300|0.31|1333|0.45|1935|0.24|1032|40.63|-111.48|2459.736|America/Denver|USA|USD|329|329|238|published_2526|https://www.onthesnow.com/utah/deer-valley-resort/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=40.63&longitude=-111.48&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Denver&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=2459.736
Devil's Head - WI|Wisconsin|Midwest|53913|995|745|495|500|11|30|260|1|260|0|0|0|0|43.42|-89.72|227.076|America/Chicago|USA|USD|79|79|70|estimate|https://www.onthesnow.com/wisconsin/devils-head/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=43.42&longitude=-89.72&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Chicago&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=227.076
Diamond Peak - NV|Nevada|Sierra Nevada|89451|8540|7620|6700|1840|6|31|655|0.08|52.4|0.28|183.4|0.66|432.3|39.25|-119.93|2322.576|America/Los_Angeles|USA|USD|149|149|112|estimate|https://www.onthesnow.com/nevada/diamond-peak/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=39.25&longitude=-119.93&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Los_Angeles&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=2322.576
Discovery Ski Area - MT|Montana|Northern Rockies|59722|8158|6964|5770|2388|7|73|2400|0.2|480|0.25|600|0.55|1320|46.26|-113.23|2122.6272|America/Denver|USA|USD|79|79|70|estimate|https://www.onthesnow.com/montana/discovery-ski-area/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=46.26&longitude=-113.23&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Denver&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=2122.6272
Dodge Ridge - CA|California|Sierra Nevada|95364|8200|7400|6600|1600|12|67|862|0.2|172.4|0.4|344.8|0.4|344.8|38.19|-119.96|2255.52|America/Los_Angeles|USA|USD|119|119|105|estimate|https://www.onthesnow.com/california/dodge-ridge/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=38.19&longitude=-119.96&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Los_Angeles&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=2255.52
Donner Ski Ranch - CA|California|Sierra Nevada|95724|7781|7406|7031|750|6|53|505|0.31|156.55|0.38|191.9|0.31|156.55|39.32|-120.33|2257.3488|America/Los_Angeles|USA|USD|99|99|87|estimate|https://www.onthesnow.com/california/donner-ski-ranch/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=39.32&longitude=-120.33&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Los_Angeles&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=2257.3488
Dry Hill - NY|New York|Northeast|13601|950|800|650|300|3|7|35|0.33|11.55|0.34|11.9|0.33|11.55|43.94|-75.96|243.84|America/New_York|USA|USD|45|45|40|estimate|https://www.onthesnow.com/new-york/dry-hill-ski-area/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=43.94&longitude=-75.96&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/New_York&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=243.84
Eagle Point - UT|Utah|Colorado & Utah||10500|9800|9100|1400|5|40|650|0.23|149.5|0.3|195|0.47|305.5|38.32|-112.38|2987.04|America/Denver|USA|USD|89|89|78|estimate|https://www.onthesnow.com/utah/eagle-point/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=38.32&longitude=-112.38&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Denver&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=2987.04
Eagle Rock - PA|Pennsylvania|Mid-Atlantic|18246|1810|1555|1300|550|3|14||0.46||0.08||0.46||40.94|-76.19|473.964|America/New_York|USA|USD|55|55|48|estimate||https://archive-api.open-meteo.com/v1/archive?latitude=40.94&longitude=-76.19&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/New_York&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=473.964
Eaglecrest - AK|Alaska|Alaska|99801|2600|1900|1200|1400|4|36|640|0.32|204.8|0.38|243.2|0.3|192|58.28|-134.53|579.12|America/Juneau|USA|USD|65|65|57|estimate|https://www.onthesnow.com/alaska/eaglecrest-ski-area/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=58.28&longitude=-134.53&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Juneau&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=579.12
